"","X1","X2","intercept.M.vs.rest","coeff.M.vs.rest","pVal.M.vs.rest","pValHolm.M.vs.rest","qValBH.M.vs.rest","notMiss1.M.vs.rest","notMiss0.M.vs.rest"
"PPBP_P02775","P02775","PPBP",23.1060363485286,-1.10532762378645,0.000520320149267542,0.119153314182267,0.00341380780860899,19,40
"PFN1_P07737","P07737","PFN1",21.5350673243565,-1.44784259379193,0.000572276859947938,0.13047912406813,0.00366529703157132,19,39
"GSN_P06396","P06396","GSN",24.4851800813791,-0.54328472295463,0.000610617663237523,0.138610209554918,0.00381991049792776,19,40
"APOM_O95445","O95445","APOM",21.9799111208678,-0.924440455507149,0.000684809772716889,0.154767008634017,0.00417101117248049,19,40
"QSOX1_O00391","O00391","QSOX1",20.5804386861629,0.445418924600416,0.000697752798370342,0.156994379633327,0.00417101117248049,19,40
"TNC_P24821;P24821-4","P24821;P24821-4","TNC",18.4067305960518,0.652627845446138,0.000731197270359019,0.16378818856042,0.00427591447231687,18,39
"PON1_P27169","P27169","PON1",24.5119844975524,-0.70343880859163,0.000773654373533523,0.172524925297976,0.00442793673362804,19,40
"FN1_P02751-1;P02751-3","P02751-1;P02751-3","FN1",23.9579102920146,-1.03589555300201,0.000834525572468439,0.185264677087993,0.00467682039570854,19,40
"PVR_P15151-3","P15151-3","PVR",17.8950207750782,0.455477637084305,0.000856904485262859,0.189375891243092,0.00470423074562672,19,38
"APOC1_P02654","P02654","APOC1",21.1680044042002,-0.73265959388693,0.00102999269391679,0.226598392661695,0.00554136069327236,19,40
"A1BG_P04217","P04217","A1BG",26.8148386083301,-0.308135748766913,0.0011490659286493,0.251645438374197,0.00606075950601298,19,40
"THBS4_P35443","P35443","THBS4",19.1024850645659,0.752466137228265,0.00134393468382703,0.292977761074293,0.00695227749902831,18,39
"CFH_P08603","P08603","CFH",25.9747925986061,-0.307119113014698,0.00142075161412699,0.308303100265557,0.00721098460755019,19,40
"C6_P13671","P13671","C6",23.8070788645453,-0.319243972335872,0.00147938867536987,0.319547953879892,0.00736954729026843,19,40
"AMBP_P02760","P02760","AMBP",26.4335499291934,-0.300821332258532,0.00166717057804723,0.358441674280153,0.00815397973626734,19,40
"AFM_P43652","P43652","AFM",24.6412417513057,-0.572899483805785,0.0017537968771252,0.375312531704793,0.00842448857047641,19,40
"APOA2_P02652","P02652","APOA2",20.3104357639338,-0.66910998739964,0.00182210519840581,0.388108407260437,0.00859905786616075,19,40
"AHSG_P02765","P02765","AHSG",26.0993565138943,-0.605755526596469,0.00194777469110774,0.41292823451484,0.00891983185939328,19,40
"CRISP3_P54108;P54108-2;P54108-3","P54108;P54108-2;P54108-3","CRISP3",19.6009226256905,-0.54322028591429,0.00195639434834276,0.41292823451484,0.00891983185939328,19,40
"CST3_P01034","P01034","CST3",19.788415601415,0.428804142962704,0.0027479468211964,0.577068832451244,0.0123199615816972,19,38
"RAP1B_P61224","P61224","RAP1B",20.3561298222455,-1.10132580028216,0.00294122123838093,0.614715238821615,0.0129703034938438,19,40
"C1QB_P02746","P02746","C1QB",24.6174813086617,0.397209915006112,0.00334414331554425,0.695581809633203,0.0145092669658291,19,40
"NID1_P14543","P14543","NID1",18.4102112479544,0.507445562424842,0.00354861367537786,0.734563030803218,0.0151520171218515,19,40
"HPX_P02790","P02790","HPX",28.9396860092036,-0.256239763752741,0.00380151297128482,0.783111672084673,0.0159782342074315,19,40
"RNASE4_P34096","P34096","RNASE4",17.9574252087302,0.315080041409324,0.00491430468331726,1,0.0203376609201899,19,39
"AGT_P01019","P01019","AGT",23.2065400096875,0.54080108665484,0.00527561157535268,1,0.0215021138449981,19,40
"PROS1_P07225","P07225","PROS1",24.002475507891,-0.261292349381428,0.00589207582204497,1,0.0236562447183597,19,40
"APOH_P02749","P02749","APOH",26.2352676418685,-0.377865849471274,0.00603205628146596,1,0.0238621049957992,19,40
"BTD_P43251;P43251-2;P43251-3;P43251-4","P43251;P43251-2;P43251-3;P43251-4","BTD",21.437857873361,-0.285677842624238,0.00624021569329956,1,0.0243277974130084,19,40
"LILRA3_Q8N6C8;Q8N6C8-3","Q8N6C8;Q8N6C8-3","LILRA3",19.186891224754,0.778186911147033,0.00663892249076602,1,0.0255124307145151,19,40
"PPIA_P62937","P62937","PPIA",20.1308710581035,-0.948968763316124,0.00706838713347876,1,0.0267802273085322,18,38
"TF_P02787","P02787","TF",29.9032217985009,-0.395788500731595,0.00745442707302844,1,0.027850567814509,19,40
"LCP1_P13796","P13796","LCP1",20.5611769649469,0.549904483469335,0.00785912668975835,1,0.0283727051837783,19,40
"SERPINA1_P01009","P01009","SERPINA1",29.1945828096202,0.458125989050821,0.00790773597471001,1,0.0283727051837783,19,40
"VTN_P04004","P04004","VTN",26.7410119599061,-0.220779369483567,0.00791060553451067,1,0.0283727051837783,19,40
